company,segment,angry,disgust,fear,happy,neutral,sad,surprise,emotional_entry_count,average_sentiment_score,sentiment_entry_count,percentage_difference,starting_time
boeing,output000,,,,,,,,,-0.9902072548866272,1.0,-0.1024512109463788,09:52:57
boeing,output001,5.896315927598991,0.0015319015507728,8.110966713779478,0.4108001746862653,45.0139248417873,40.53452321594837,0.0319387396508789,51.0,0.1213630816262019,304.0,-1.3256443409648146,10:22:57
boeing,output002,10.147918035586676,0.0031208536522913,7.888783265457109,0.2863709271717838,40.07583216826121,41.57591392817321,0.0220614722373283,108.0,-0.2099048680854293,318.0,-0.8207586533321173,10:52:57
boeing,output003,12.286966700320956,0.0017527220466779,10.108541227818264,0.1833187968989258,30.468875723323603,46.94104005653283,0.0095061054696408,87.0,0.0884345800129335,335.0,0.4254712547882766,11:22:57
boeing,output004,13.208959698677065,0.0003041202005161,4.922873110384555,0.1528022167940557,39.618834102475965,42.09254891163594,0.0036789473954009,37.0,0.1079898154598542,261.0,0.2683741417857733,11:52:57
boeing,output005,8.932758355140686,0.0004533577900322,10.317926994959514,0.1620746890490409,24.14913845062256,56.43049926757813,0.0071498852754776,30.0,-0.1083522192202508,128.0,-0.1607808561052565,12:22:57
boeing,output006,4.9801814158757525,0.0008494359626032,7.887953519821167,1.1553670149296522,46.06623706817627,39.88016262054443,0.0292509145874646,15.0,0.104927394200455,264.0,-0.3266344930250436,12:52:57
boeing,output007,,,,,,,,,0.0821801214604764,296.0,0.1795206543000879,13:22:57
boeing,output008,8.013258310464712,4.436786685766072e-05,6.042894124984741,0.0603587780183611,51.820428554828354,34.062046124384956,0.0009698374725793,13.0,0.062023608206296,339.0,0.784438820157948,13:52:57
boeing,output009,7.007842315094812,0.0026030322129123,10.94159248205168,0.2033585140577461,24.052356851952418,57.78287134851728,0.0093769963186865,56.0,,,-0.3039367019227084,14:22:57
boeing,output010,7.602654178937276,0.0099305410112719,14.293752829233805,0.6012474397818247,11.904795010884603,65.56642278035481,0.0211974793734649,6.0,,,0.2377780807151096,14:52:57
boeing,output011,,,,,,,,,-0.0543147060606214,9.0,-0.9101391762668408,15:22:57
crowdstrike,output001,5.711089514040698,0.0387550370452601,5.042174190826093,3.873795959693477,74.7193169593811,9.894618790596724,0.7202504065119418,12.0,0.2552135537068049,252.0,0.0112910155931439,14:23:50
crowdstrike,output002,5.956461325347424,0.0121324596427301,1.5156081265173853,0.1567126506605418,86.39041141700744,5.780502645224333,0.1881725136160312,125.0,0.0905460944353056,242.0,0.0212928744107544,14:53:50
crowdstrike,output003,5.623867224106628,0.0018429167843924,5.058592212334108,0.8229376815828126,70.54468278252007,16.66325751566485,1.2848203622739494,89.0,-0.114993958214249,267.0,0.3366433051749746,15:23:50
crowdstrike,output004,3.61565625667572,3.0491281947320203e-05,1.4237836571410298,0.2686421932685334,92.96957778930664,1.6103998124599457,0.1119056668026132,2.0,-0.0945495134112478,87.0,1.6330342886974725,15:53:50
facebook1,output000,27.093717490904258,0.0149619511555777,28.101205145951475,0.2180473902360332,8.964816099766528,34.63212255686521,0.9751306445724656,165.0,0.9998446702957152,1.0,-0.7230143004474529,09:45:39
facebook1,output001,15.031471127111631,0.0017706577167005,23.29973345464944,0.2519528287305931,11.11927637449836,49.90622266203712,0.3895739267498639,627.0,-0.0252472212349159,345.0,0.670847182990198,10:15:39
facebook1,output002,30.829411006786607,0.0040308855279211,27.18720733372543,0.0704310716568635,10.787224124742115,30.561785157140974,0.5599119420501913,308.0,0.087171967331889,347.0,0.0759246458569429,10:45:39
facebook1,output003,27.47843117711644,0.0064861080028915,9.031208221939336,0.0411141029241514,18.764207783983156,43.97886529470091,0.6996883014119736,171.0,0.0182970979343207,313.0,0.4498899040062053,11:15:39
facebook1,output004,14.40566011812064,0.003372178209569,25.305940416116172,0.4939870143626599,7.241258600195392,52.01316820715483,0.5366145613808546,312.0,-0.0141348719596862,50.0,0.8322575524144887,11:45:39
facebook1,output005,37.69609938487191,0.0123713859892507,27.254379651807305,0.1415867280700722,5.996683740829033,27.948475398496893,0.9504048468230664,339.0,-0.0335099290878999,336.0,-0.0316743097232775,12:15:39
facebook1,output006,36.55027931290014,0.0012498856904158,10.092329268760793,0.6544627101725997,28.6331833054622,23.814918893655495,0.2535774313109605,84.0,-0.0028755726841832,346.0,0.0600791099076261,12:45:39
facebook1,output007,17.19625051021576,0.0012083680307701,31.503916368959473,0.010570557315952,14.259244959056378,36.823415578901766,0.2053940081088287,20.0,-0.056852503095643,236.0,0.1314493058188131,13:15:39
facebook1,output008,28.623418128577715,0.0228690525888067,19.54364352958094,0.2492332171666234,9.415469982640618,41.50910826686483,0.6362589646007393,364.0,0.1228894503677592,34.0,0.426073774406724,13:45:39
facebook1,output009,28.54977427005536,0.0080295162458341,18.345111834552775,0.6239605044575784,10.75126833735389,40.80635162735727,0.9155052507703668,257.0,0.0367755552006375,314.0,-0.0420441509093238,14:15:39
facebook1,output010,29.900763536699944,0.0127893455510091,19.896418904892116,4.768783264113908,9.508936209397184,35.60687716486346,0.3054316430212496,72.0,0.1116092857680743,158.0,-0.4288340625134748,14:45:39
facebook2,output000,53.36465344709509,0.0036928993139393,6.5161321246448685,1.2229382964398932,28.443795709049,9.109006629270668,1.3397814201958038,17.0,0.2542382612310607,348.0,0.640879453047074,13:03:30
facebook2,output001,10.044827677364882,0.2622406648949859,24.412464095135288,4.128854949532343,21.83829422682585,32.790511267029686,6.5228079776889665,283.0,0.2527619241581137,329.0,-0.1745657724587538,13:33:30
facebook2,output002,4.7032285864626,0.2249394688587406,27.61189937645197,2.4024151470952493,28.88192389699648,29.14943934242515,7.026155211144856,250.0,0.1195258372213562,317.0,-0.1541704986014462,14:03:30
facebook2,output003,3.3978864468202423,0.2270757416024077,32.29752727923915,2.889643757399123,24.646857933918607,25.13765230119073,11.403357481426866,48.0,0.1132868839346844,23.0,-0.8877299797570449,14:33:30
facebook2,output004,3.434325177386737,0.9539551352851854,32.24758656906045,2.0912038893901688,25.318365730889365,28.380363793093988,7.574200943950058,115.0,0.1132868839346844,23.0,0.3673426305082805,15:03:30
facebook2,output005,3.805054726137976,0.3352378586060638,37.0614546694323,0.5118510958051868,19.285669326295302,31.675649924109905,7.325083784260352,226.0,0.08215518705329,342.0,0.6033931530616937,15:33:30
facebook2,output006,2.890739742558453,0.3471527253108691,23.62724808835088,3.695937234970573,29.50921987822203,22.07131572417742,17.858387459188855,202.0,-0.1593617038561566,202.0,-0.0006664001066362,16:03:30
facebook2,output007,2.4670371737482686,0.1757984504530426,23.70278758176871,1.5204672878335683,26.806792065029484,27.03731760811806,18.28980178506656,149.0,0.9997709393501282,1.0,-0.0663626344344236,16:33:30
facebook2,output008,4.449028953639545,0.480296266187519,36.11023899042437,1.1629443281596383,17.419184081081347,28.515400337785223,11.86290808167174,227.0,0.1516850630084315,333.0,-0.4278215574486352,17:03:30
facebook2,output009,3.5565579942040677,0.3531199717374615,28.25371566787912,0.8821362585942524,25.238812361579747,27.12354738352085,14.5921114873209,254.0,0.0711744863570892,361.0,0.1162795505952532,17:33:30
facebook2,output010,5.680810373960808,0.722846472393288,45.354120667620656,0.7562812958850497,11.1573336893996,27.764372851616184,8.564235746967752,231.0,0.1014627958375382,393.0,0.1731154538179026,18:03:30
